Код;Работа;Предшественники;Последователи;D;ES;EF;LS;LF;TS;Критическая
1.0;Анализ и формализация требований (SRS: FR, NFR, UC);;2.0, 3.0;0,25;0;0,25;0;0,25;0;ДА
2.0;Архитектура (C4, ADR) и каталог нотаций волны 1;1.0;4.0;0,25;0,25;0,5;0,25;0,5;0;ДА
3.0;Мудборды и макеты интерфейса IDE;1.0;9.0;0,25;0,25;0,5;0,75;1;0,5;НЕТ
4.0;Монорепозиторий, CI, Docker Compose, walking skeleton;2.0;5.0, 7.0, 9.0;0,25;0,5;0,75;0,5;0,75;0;ДА
5.0;Грамматика DSL и парсер Lark с диагностикой;4.0;6.0, 10.0;0,75;0,75;1,5;0,75;1,5;0;ДА
6.0;Профили и валидация нотаций волны 1;5.0;13.0;0,5;1,5;2;1,75;2,25;0,25;НЕТ
7.0;Gateway: CRUD проектов, аутентификация JWT;4.0;8.0, 12.0;0,5;0,75;1,25;1,25;1,75;0,5;НЕТ
8.0;Workspace: коммиты и история версий;7.0;11.0;0,25;1,25;1,5;1,75;2;0,5;НЕТ
9.0;Оболочка IDE и интеграция Monaco;3.0, 4.0;10.0;0,5;0,75;1,25;1;1,5;0,25;НЕТ
10.0;SVG-холст, раскладка elkjs, кросс-подсветка;5.0, 9.0;11.0;0,5;1,5;2;1,5;2;0;ДА
11.0;Сохранение и экспорт SVG/PNG;8.0, 10.0;13.0;0,25;2;2,25;2;2,25;0;ДА
12.0;AI-ассистент: заглушка и адаптер LLM;7.0;13.0;0,25;1,25;1,5;2;2,25;0,75;НЕТ
13.0;E2E-тестирование, Lighthouse, аудит безопасности;6.0, 11.0, 12.0;14.0;0,25;2,25;2,5;2,25;2,5;0;ДА
14.0;Развёртывание демо-стенда, пояснительная записка;13.0;;0,25;2,5;2,75;2,5;2,75;0;ДА
