№;Риск;Категория;Триггер;P;I;H;Приоритет;Стратегия;Мероприятия
R1;Объём распределённой архитектуры (7 сервисов) превышает ресурсы одного исполнителя;Планирование;Velocity ниже плана два спринта подряд;0,7;0,8;0,56;Высокий;Снижение;Walking skeleton в S0, поэтапное подключение сервисов, перенос Could have в Post-MVP
R2;Вытеснение продуктовых задач лабораторными работами ч. 2;Организационный;Лабораторная занимает более одного спринта;0,6;0,6;0,36;Средний;Снижение;"ЛР реализуется как компонент продукта; дорожка Expedite, WIP = 1"
R3;Расхождение грамматики DSL и профилей нотаций;Технический;Падение контрактных тестов каталога нотаций;0,4;0,7;0,28;Средний;Уклонение;Единый каталог нотаций в packages/contracts, генерация подсветки и шаблонов
R4;Хранимая XSS через подписи узлов в SVG;Безопасность;Замечание аудита, срабатывание CSP;0,3;0,9;0,27;Средний;Уклонение;Экранирование, DOMPurify, политика CSP
R5;Требования 100 % покрытия и отсутствия комментариев замедляют разработку;Технический;CI блокирует слияние > 2 дней;0,5;0,5;0,25;Средний;Снижение;TDD с первого спринта, моки портов, линтер-правило
R6;Отказ в согласовании Python-сервисов;Организационный;Замечание руководителя по разделу 2.1;0,3;0,8;0,24;Средний;Снижение;Обоснование в записке, согласование в S1
R7;Перегрузка или болезнь единственного исполнителя;Организационный;Цель спринта не выполнена по внешним причинам;0,3;0,8;0,24;Средний;Принятие;Буферный спринт S12, ADR и документация в репозитории
R8;Изменение бесплатных лимитов LLM API;Внешний;HTTP 429, отзыв ключа;0,5;0,4;0,2;Средний;Снижение;Несколько провайдеров, заглушка по умолчанию, локальный Ollama
R9;Изменение бесплатных тарифов хостинга;Внешний;Уведомление провайдера, превышение лимита;0,3;0,7;0,21;Средний;Передача;Резервный провайдер Fly.io, локальный стенд docker compose
R10;Время Run > 300 мс для 200 узлов;Технический;Нагрузочный тест анализа;0,3;0,5;0,15;Средний;Снижение;Кэш в Redis, elkjs в Web Worker, профилирование
R11;Перенос даты защиты на более ранний срок;Планирование;Объявление расписания защиты;0,3;0,6;0,18;Средний;Принятие;Уточнение даты в S1, перенос Should have в Post-MVP
R12;Утечка API-ключей и OAuth-токенов;Безопасность;Secret scanning GitHub;0,2;0,8;0,16;Средний;Уклонение;Секреты только на сервере, AES-GCM, gitleaks в CI
R13;Нарушение Закона РБ № 99-З о персональных данных;Правовой;Регистрация без политики обработки ПДн;0,2;0,6;0,12;Низкий;Уклонение;Политика ПДн, согласие, минимизация данных
