№	Обозначение	Риск	Влияние на проект	Триггер	Вероятность (F)	Воздействие (G)	Коэффициент H = F×G	Приоритет	Место по H	Меры по минимизации
1	="R"&A2	Ветки feature/notation-bpmn-and-collab и feature/real-ide-app не смёржены к дате защиты	На защите нельзя показать бэкенд и новый фронтенд как единое приложение	Конфликты слияния из-за параллельной работы двух фоновых агентов на разных ветках	0.5	0.9	=F2*G2	=IF(H2>=0.505,"Высокий",IF(H2>=0.14,"Средний","Низкий"))	=RANK(H2,$H$2:$H$10)	Смёржить обе ветки в одну защищаемую заранее, до финальной недели подготовки; прогонять тесты после каждого merge
2	="R"&A3	Нотации uml.class и idef0 (FR-NOT-06) не реализованы к сроку	Заявленный объём курсового среза (Волна 1) не будет фактически покрыт кодом	Недооценка времени на вторую и третью нотацию после ERD	0.6	0.7	=F3*G3	=IF(H3>=0.505,"Высокий",IF(H3>=0.14,"Средний","Низкий"))	=RANK(H3,$H$2:$H$10)	Зафиксировать в РПЗ фактический объём (только ERD), либо выделить резерв времени на idef0/uml.class до защиты
3	="R"&A4	Реальная БД Neon PostgreSQL и Redis не подключены и не проверены end-to-end	Демонстрация на облачной инфраструктуре может выявить неучтённые баги миграций	Alembic-миграции ни разу не прогонялись против настоящего Postgres	0.4	0.5	=F4*G4	=IF(H4>=0.505,"Высокий",IF(H4>=0.14,"Средний","Низкий"))	=RANK(H4,$H$2:$H$10)	Прогнать alembic upgrade head на тестовом Neon-проекте заранее, вне дня защиты
4	="R"&A5	Единственный разработчик перегружен или заболевает перед защитой	Срыв сроков подготовки к защите	Совмещение ролей PO/разработчика/тестировщика без резерва по времени	0.3	0.8	=F5*G5	=IF(H5>=0.505,"Высокий",IF(H5>=0.14,"Средний","Низкий"))	=RANK(H5,$H$2:$H$10)	Заложить буфер в графике (раздел 4 концепции), не планировать критические задачи на последние 2-3 дня
5	="R"&A6	Качество кода фоновых ИИ-агентов не соответствует ожиданиям при ручной проверке	Дополнительное время на рефакторинг непосредственно перед защитой	Merge веток без code review со стороны автора проекта	0.5	0.6	=F6*G6	=IF(H6>=0.505,"Высокий",IF(H6>=0.14,"Средний","Низкий"))	=RANK(H6,$H$2:$H$10)	Ручной review каждого PR перед merge в защищаемую ветку, прогон полного набора тестов
6	="R"&A7	AI-провайдер остаётся в режиме заглушки (StubAIProvider)	AI-режимы нельзя продемонстрировать как работающие с реальной генерацией	Нет бесплатного API-ключа (Gemini/OpenRouter) на момент защиты	0.6	0.3	=F7*G7	=IF(H7>=0.505,"Высокий",IF(H7>=0.14,"Средний","Низкий"))	=RANK(H7,$H$2:$H$10)	Оформить бесплатный ключ Google Gemini или OpenRouter заранее (см. docs/architecture/01-ai-provider-setup.md)
7	="R"&A8	Хостинг-провайдер (Render/Netlify) недоступен или меняет бесплатные лимиты	Демо-окружение недоступно в день защиты	Изменение политики бесплатного тарифа или блокировка региона	0.2	0.7	=F8*G8	=IF(H8>=0.505,"Высокий",IF(H8>=0.14,"Средний","Низкий"))	=RANK(H8,$H$2:$H$10)	Иметь резервный вариант — локальный запуск через docker compose up на случай недоступности облака
8	="R"&A9	Смешение трёх обязательств (лабы Часть 1/2 + курсовая + реальный продукт) в одном репозитории	Комиссия может не понять границы курсового среза при просмотре репозитория	Незнание отличия «Волна 1» (курсовой срез) от полной целевой архитектуры	0.4	0.6	=F9*G9	=IF(H9>=0.505,"Высокий",IF(H9>=0.14,"Средний","Низкий"))	=RANK(H9,$H$2:$H$10)	Явно обозначить курсовой срез в презентации и РПЗ, не показывать репозиторий комиссии напрямую без пояснений
9	="R"&A10	Дата защиты курсовой работы смещается или уточняется поздно	Пересмотр графика подготовки (раздел 4 концепции, критический путь)	Изменение расписания сессии группы 60121	0.2	0.5	=F10*G10	=IF(H10>=0.505,"Высокий",IF(H10>=0.14,"Средний","Низкий"))	=RANK(H10,$H$2:$H$10)	Следить за расписанием заранее, держать 39-дневный план (раздел 4) с запасом до официальной даты

Пороги приоритета взяты из легенды шаблона «Карта рисков»: высокий — от 0,505, средний — от 0,14 до 0,505, низкий — меньше 0,14
